sec,nanosec,time_s,x,y,z,qx,qy,qz,qw
170,900000000,170.9,24.94992833915411,-24.789980309605237,24.392495787059584,-4.677333451378495e-16,-1.4865671492134486e-16,8.830162598563732e-17,1.0
171,0,171.0,25.00767537784542,-24.847727348296548,24.450242825750895,-4.677451256720802e-16,-1.4879240959948914e-16,8.836077666869811e-17,1.0
171,100000000,171.1,25.060938968380302,-24.90099093883143,24.503506416285777,-4.677446005116526e-16,-1.485678171194509e-16,8.840431836261006e-17,1.0
171,200000000,171.2,25.1209956621825,-24.96104763263363,24.563563110087976,-4.67836334179849e-16,-1.4862878316286375e-16,8.846415594968644e-17,1.0
171,300000000,171.3,25.17647833311804,-25.01653030356917,24.619045781023516,-4.678290022626535e-16,-1.4854498788745008e-16,8.85293933238251e-17,1.0
171,400000000,171.4,25.23308752701211,-25.073139497463238,24.675654974917585,-4.677619612989348e-16,-1.4875089143254632e-16,8.859540710292147e-17,1.0
171,500000000,171.5,25.29083456570342,-25.13088653615455,24.733402013608895,-4.678286600613329e-16,-1.487677643288647e-16,8.864471088404093e-17,1.0
171,600000000,171.6,25.34858160439473,-25.18863357484586,24.791149052300206,-4.677986039442415e-16,-1.486314394581962e-16,8.870883128311118e-17,1.0
171,700000000,171.7,25.400752637487486,-25.240804607938614,24.84332008539296,-4.676852065614014e-16,-1.4871053200669222e-16,8.877416656234704e-17,1.0
171,800000000,171.8,25.460809331289653,-25.30086130174078,24.903376779195128,-4.67830943662176e-16,-1.4874021881743288e-16,8.88258020117576e-17,1.0
171,900000000,171.9,25.535674990214538,-25.375726960665663,24.97824243812001,-4.677164756296816e-16,-1.4861748713151015e-16,8.888004992749909e-17,1.0
172,0,172.0,25.578522489072927,-25.418574459524052,25.0210899369784,-4.678641812350354e-16,-1.4872371861563078e-16,8.893154260553603e-17,1.0
172,100000000,172.1,25.6296122865623,-25.469664257013424,25.07217973446777,-4.677255829279483e-16,-1.4864746532156827e-16,8.898286471562201e-17,1.0
172,200000000,172.2,25.68509495749787,-25.525146927948995,25.127662405403342,-4.676827772709166e-16,-1.486688376568832e-16,8.903536340079366e-17,1.0
172,300000000,172.3,25.74057762843341,-25.580629598884535,25.18314507633888,-4.67742510034357e-16,-1.485851033678574e-16,8.909444308694244e-17,1.0
172,400000000,172.4,25.79832466712472,-25.638376637575846,25.240892115030192,-4.677957951829966e-16,-1.4861191026655762e-16,8.91388517174216e-17,1.0
172,500000000,172.5,25.854933861018758,-25.694985831469882,25.29750130892423,-4.677398096933139e-16,-1.4855926547482068e-16,8.918442721684926e-17,1.0
172,600000000,172.6,25.911543054912826,-25.75159502536395,25.354110502818298,-4.678070031229485e-16,-1.4868972887748774e-16,8.924277395810958e-17,1.0
172,700000000,172.7,25.967025725848366,-25.80707769629949,25.409593173753837,-4.678234457265203e-16,-1.4881185747594108e-16,8.929820000734499e-17,1.0
172,800000000,172.8,26.024772764539676,-25.8648247349908,25.467340212445148,-4.677461624404036e-16,-1.486057032091075e-16,8.934336846277386e-17,1.0
172,900000000,172.9,26.081381958433713,-25.921433928884838,25.523949406339185,-4.677216526950487e-16,-1.486599065414697e-16,8.941047610220363e-17,1.0
173,0,173.0,26.136864629369253,-25.976916599820377,25.579432077274724,-4.67795351337717e-16,-1.4862623528775863e-16,8.947224059493615e-17,1.0
173,100000000,173.1,26.19347382326332,-26.033525793714446,25.636041271168793,-4.678469898543039e-16,-1.4878153369643774e-16,8.95282558482306e-17,1.0
173,200000000,173.2,26.251220861954632,-26.091272832405757,25.693788309860103,-4.677962390282389e-16,-1.4855372249120204e-16,8.958739470095432e-17,1.0
173,300000000,173.3,26.30783005584867,-26.147882026299794,25.75039750375414,-4.67781893678243e-16,-1.4859791050599624e-16,8.96429496911038e-17,1.0
173,400000000,173.4,26.36557709453998,-26.205629064991104,25.80814454244545,-4.678292733131838e-16,-1.486871200160097e-16,8.97001787045614e-17,1.0
173,500000000,173.5,26.419944564355802,-26.259996534806927,25.862512012261273,-4.677243360954125e-16,-1.4867574266944161e-16,8.975862364704975e-17,1.0
